id,number,ЭЧТК,УКВ,Кол-во мест,Автосцепка,Переход,Постройка,Тип
83,19255216,да,да,80,БСУ,Б,2003,одноэтажный
84,58612055,да,нет,72,СА-3,Б,2023,одноэтажный
85,97302916,да,нет,64,БСУ,Б,2023,одноэтажный
86,53258988,нет,нет,36,БСУ,Б,2007,одноэтажный
87,86483924,да,да,36,БСУ,Б,2005,одноэтажный
88,57623800,нет,да,64,БСУ,Б,2016,одноэтажный
89,21490777,да,да,64,СА-3,Б,2020,одноэтажный
90,70152969,нет,да,40,БСУ,Б,2009,одноэтажный
91,59529086,да,да,54,БСУ,Б,2014,одноэтажный
92,43742830,да,нет,44,СА-3,Б,2024,одноэтажный
93,35708194,да,да,72,БСУ,Б,2006,одноэтажный
94,58436637,да,да,64,СА-3,Х,2001,одноэтажный
95,26948946,да,нет,36,СА-3,Б,2015,одноэтажный
96,55728776,да,да,80,БСУ,Х,2002,одноэтажный
97,19943140,да,нет,40,СА-3,Б,2009,двухэтажный
98,43311626,да,нет,64,СА-3,Б,2012,одноэтажный
99,69421007,да,да,54,БСУ,Б,2001,одноэтажный
100,23318904,нет,да,40,БСУ,Б,2005,двухэтажный
101,84087145,да,да,54,БСУ,Х,2007,одноэтажный
102,47945817,нет,да,72,СА-3,Б,2025,одноэтажный
103,89160218,нет,нет,54,СА-3,Б,2020,двухэтажный
104,45652586,нет,да,40,БСУ,Б,2018,одноэтажный
105,68942178,да,нет,72,БСУ,Б,2016,одноэтажный
106,68755000,да,да,54,БСУ,Б,2000,двухэтажный
107,87201917,да,да,80,БСУ,Б,2024,одноэтажный
108,73149551,да,да,44,СА-3,Б,2013,одноэтажный
109,75998319,нет,да,54,БСУ,Б,2003,одноэтажный
110,54265498,да,да,72,БСУ,Б,2017,двухэтажный
111,21819185,да,да,80,БСУ,Б,2000,одноэтажный
112,82825679,да,да,64,БСУ,Б,2015,одноэтажный
113,16927215,да,да,44,БСУ,Б,2015,двухэтажный
114,94560158,да,да,40,БСУ,Б,2017,одноэтажный
115,40158811,нет,нет,54,СА-3,Б,2004,одноэтажный
116,49172995,да,да,80,БСУ,Б,2007,одноэтажный
117,29413516,да,нет,64,СА-3,Б,2008,одноэтажный
118,65692629,да,нет,44,СА-3,Х,2009,одноэтажный
119,87835998,нет,да,40,БСУ,Б,2011,одноэтажный
120,82937948,да,нет,80,СА-3,Б,2007,одноэтажный
121,41348220,нет,да,44,БСУ,Б,2025,одноэтажный
122,99078806,нет,нет,40,БСУ,Б,2004,одноэтажный
123,89212676,да,да,80,БСУ,Х,2014,двухэтажный
124,29348212,да,нет,40,СА-3,Б,2008,одноэтажный
125,63349308,да,нет,80,БСУ,Б,2020,одноэтажный
126,75491202,нет,да,36,СА-3,Б,2009,одноэтажный
127,22130508,да,да,72,СА-3,Б,2022,одноэтажный
128,13885234,да,нет,44,БСУ,Б,2004,двухэтажный
129,65304649,да,нет,40,СА-3,Х,2012,одноэтажный
130,42323627,да,да,40,БСУ,Б,2014,одноэтажный
131,11261301,нет,да,44,СА-3,Х,2011,одноэтажный
132,50151803,да,да,44,БСУ,Б,2006,одноэтажный
133,74855088,да,да,44,БСУ,Б,2009,двухэтажный
134,98346110,да,да,80,СА-3,Б,2023,одноэтажный
135,48412328,нет,да,80,БСУ,Х,2006,одноэтажный
136,98473848,нет,да,36,СА-3,Б,2014,двухэтажный
137,58970845,нет,да,44,БСУ,Б,2005,двухэтажный
138,82398083,нет,да,64,БСУ,Б,2008,одноэтажный
139,74672520,нет,да,80,БСУ,Б,2014,одноэтажный
140,28892086,нет,да,72,БСУ,Б,2025,одноэтажный
141,22120246,нет,да,64,СА-3,Б,2021,одноэтажный
142,45186708,да,нет,44,СА-3,Б,2015,двухэтажный
143,85350823,да,нет,72,СА-3,Б,2014,одноэтажный
144,50559278,да,да,36,СА-3,Б,2015,двухэтажный
145,41514326,нет,да,54,БСУ,Б,2023,одноэтажный
146,82503409,да,нет,40,БСУ,Б,2015,одноэтажный
147,47546086,да,да,54,БСУ,Б,2011,двухэтажный
148,59302863,да,нет,44,СА-3,Б,2006,одноэтажный
149,71031132,да,да,72,СА-3,Х,2010,двухэтажный
150,26901217,нет,да,80,СА-3,Б,2007,одноэтажный
151,29804386,нет,да,44,СА-3,Б,2017,одноэтажный
152,33420607,да,нет,40,СА-3,Б,2025,двухэтажный
153,53455870,да,да,40,БСУ,Б,2023,двухэтажный
154,70166480,нет,да,36,БСУ,Б,2019,двухэтажный
155,98436473,да,да,36,СА-3,Б,2012,одноэтажный
156,24490391,да,нет,36,СА-3,Б,2004,двухэтажный
157,46912022,да,да,72,БСУ,Б,2019,одноэтажный
158,70896652,да,да,80,СА-3,Б,2020,одноэтажный
159,83998961,нет,да,54,СА-3,Б,2014,одноэтажный
160,22762205,да,да,44,БСУ,Б,2021,одноэтажный
161,19010480,да,да,54,СА-3,Б,2011,одноэтажный
162,84674816,да,нет,64,БСУ,Б,2013,одноэтажный
163,99300492,нет,да,72,СА-3,Б,2019,одноэтажный
164,23905032,да,да,72,БСУ,Х,2003,одноэтажный
165,84660688,да,нет,64,СА-3,Б,2017,одноэтажный
166,93446356,да,нет,36,БСУ,Х,2008,одноэтажный
167,51471222,нет,да,40,СА-3,Б,2012,двухэтажный
168,94982908,нет,да,64,СА-3,Б,2014,одноэтажный
169,59667685,да,да,64,СА-3,Б,2004,двухэтажный
170,92924837,да,да,54,БСУ,Б,2014,одноэтажный
171,38933176,нет,да,54,СА-3,Х,2021,одноэтажный
172,80723898,нет,да,54,СА-3,Х,2009,одноэтажный
173,28419343,нет,да,36,СА-3,Б,2013,двухэтажный
174,61030579,да,да,64,БСУ,Х,2023,двухэтажный
175,12515446,да,да,44,БСУ,Б,2022,одноэтажный
176,48858073,да,да,44,СА-3,Б,2019,одноэтажный
177,58567046,да,нет,40,БСУ,Б,2016,двухэтажный
178,51644346,нет,да,80,СА-3,Х,2020,двухэтажный
179,78444607,да,нет,44,СА-3,Х,2004,одноэтажный
180,33286644,да,нет,72,СА-3,Х,2024,одноэтажный
181,72270726,нет,нет,54,БСУ,Б,2020,одноэтажный
182,69023966,да,да,44,БСУ,Б,2011,одноэтажный
183,51662236,да,да,44,БСУ,Х,2002,одноэтажный
184,78057490,да,да,80,СА-3,Б,2025,одноэтажный
185,35265073,да,да,40,СА-3,Б,2025,одноэтажный
186,56095437,нет,да,72,СА-3,Х,2022,одноэтажный
187,68978194,да,нет,44,БСУ,Б,2012,одноэтажный
188,55414869,нет,да,72,БСУ,Х,2003,одноэтажный
189,61883769,да,нет,72,СА-3,Б,2018,одноэтажный
190,56952151,да,нет,72,БСУ,Х,2022,одноэтажный
191,51551377,да,нет,44,СА-3,Б,2023,одноэтажный
192,80651318,да,нет,64,БСУ,Х,2009,двухэтажный
193,38748452,да,нет,40,СА-3,Б,2004,двухэтажный
194,23574883,да,да,72,СА-3,Б,2024,одноэтажный
195,90161060,да,да,80,СА-3,Б,2001,одноэтажный
196,41880763,нет,нет,80,БСУ,Х,2007,одноэтажный
197,72950208,нет,да,72,БСУ,Б,2009,одноэтажный
198,77498993,да,нет,80,СА-3,Б,2004,одноэтажный
199,17003454,да,нет,64,СА-3,Б,2016,одноэтажный
200,48260510,да,да,54,СА-3,Б,2002,одноэтажный
201,39801436,нет,нет,36,БСУ,Х,2016,одноэтажный
202,61830338,нет,да,36,БСУ,Б,2022,одноэтажный
203,29602406,да,да,80,БСУ,Б,2004,одноэтажный
204,72962895,да,да,36,СА-3,Х,2004,одноэтажный
205,91722503,да,да,44,СА-3,Б,2001,двухэтажный
206,95758649,нет,да,36,БСУ,Б,2000,одноэтажный
207,87181563,да,да,54,СА-3,Б,2007,одноэтажный
208,35140847,нет,да,44,СА-3,Б,2017,одноэтажный
209,78131950,да,да,54,СА-3,Б,2011,одноэтажный
210,12179995,да,да,40,СА-3,Б,2023,одноэтажный
211,27905932,да,да,80,СА-3,Б,2021,одноэтажный
212,74227366,да,нет,36,БСУ,Х,2006,двухэтажный
213,36772387,нет,да,44,БСУ,Б,2017,одноэтажный
214,14915156,нет,да,44,СА-3,Б,2010,одноэтажный
215,59394697,да,да,54,БСУ,Б,2005,одноэтажный
216,76776459,да,нет,44,СА-3,Б,2002,одноэтажный
217,34220459,да,да,36,БСУ,Б,2009,одноэтажный
218,67192331,да,да,54,СА-3,Б,2011,одноэтажный
219,68376726,да,нет,36,СА-3,Б,2012,одноэтажный
220,31473054,нет,да,64,БСУ,Х,2002,двухэтажный
221,96592295,да,да,64,СА-3,Б,2021,одноэтажный
222,59790013,да,нет,64,СА-3,Б,2012,одноэтажный
223,47405107,да,да,72,СА-3,Б,2012,одноэтажный
224,25805613,да,да,54,СА-3,Б,2009,одноэтажный
225,75927774,да,да,36,БСУ,Х,2022,одноэтажный
226,21783073,нет,нет,44,БСУ,Б,2017,одноэтажный
227,50259503,нет,нет,72,СА-3,Б,2016,двухэтажный
228,36975128,нет,да,54,СА-3,Б,2018,одноэтажный
229,84040798,да,нет,36,БСУ,Б,2022,одноэтажный
230,80557676,да,да,64,СА-3,Х,2010,одноэтажный
231,70394554,да,да,40,СА-3,Б,2004,одноэтажный
232,17437386,нет,да,44,СА-3,Х,2022,двухэтажный
233,79645282,нет,нет,44,СА-3,Б,2017,одноэтажный
234,93889081,да,да,64,СА-3,Б,2018,двухэтажный
235,98413629,да,нет,44,СА-3,Б,2000,двухэтажный
236,96094462,нет,да,40,БСУ,Б,2000,одноэтажный
237,94176528,да,нет,44,БСУ,Х,2025,одноэтажный
238,49920898,да,нет,40,БСУ,Б,2014,двухэтажный
239,91424562,да,нет,44,БСУ,Б,2004,одноэтажный
240,79119463,да,да,54,СА-3,Х,2007,двухэтажный
241,16792127,да,да,64,БСУ,Х,2005,одноэтажный
242,87535841,нет,да,40,БСУ,Б,2014,одноэтажный
243,51411602,да,да,54,БСУ,Б,2006,одноэтажный
244,16530784,да,да,80,БСУ,Х,2000,одноэтажный
245,67838146,да,да,44,БСУ,Б,2012,двухэтажный
246,85405783,да,да,36,БСУ,Б,2024,одноэтажный
247,93650068,нет,да,36,БСУ,Б,2010,одноэтажный
248,59070856,нет,да,64,БСУ,Б,2001,двухэтажный
249,54699966,нет,да,40,СА-3,Б,2019,одноэтажный
250,62741471,нет,нет,44,БСУ,Б,2016,одноэтажный
251,85554415,да,нет,44,БСУ,Б,2013,одноэтажный
252,94457912,да,да,72,СА-3,Б,2018,одноэтажный
253,80361272,да,нет,80,БСУ,Х,2021,двухэтажный
254,86849080,нет,да,36,БСУ,Б,2004,одноэтажный
255,37365878,да,нет,54,СА-3,Б,2016,двухэтажный
256,53627409,нет,да,54,БСУ,Б,2014,одноэтажный
257,55946354,да,нет,80,БСУ,Б,2006,одноэтажный
258,47447604,да,да,44,БСУ,Б,2022,одноэтажный
259,52552488,да,да,80,БСУ,Х,2018,одноэтажный
260,60961690,нет,да,44,СА-3,Х,2009,одноэтажный
261,20607151,да,да,44,БСУ,Х,2017,одноэтажный
262,85432781,нет,да,64,СА-3,Х,2021,одноэтажный
263,40289135,да,да,54,БСУ,Б,2003,одноэтажный
264,28450513,да,да,40,БСУ,Б,2015,одноэтажный
265,36770527,нет,да,44,СА-3,Б,2002,одноэтажный
266,41168067,да,нет,36,СА-3,Б,2005,одноэтажный
267,14877451,нет,да,54,СА-3,Б,2009,одноэтажный
268,11243818,да,нет,44,БСУ,Б,2020,одноэтажный
269,76291802,нет,да,64,БСУ,Х,2025,двухэтажный
270,31809610,нет,нет,72,СА-3,Х,2010,одноэтажный
271,86206305,нет,да,64,БСУ,Б,2016,одноэтажный
272,63798927,нет,да,40,БСУ,Б,2007,двухэтажный
273,61482483,да,нет,44,БСУ,Б,2018,двухэтажный
274,97735896,да,да,72,СА-3,Б,2005,одноэтажный
275,77447155,нет,нет,80,БСУ,Б,2020,одноэтажный
276,49599276,да,да,40,БСУ,Х,2023,одноэтажный
277,60147077,да,да,54,СА-3,Б,2021,одноэтажный
278,20988446,да,да,44,СА-3,Б,2003,двухэтажный
279,83504237,нет,да,64,СА-3,Х,2016,одноэтажный
280,37568520,нет,да,64,БСУ,Б,2014,двухэтажный
281,65757342,да,да,54,БСУ,Б,2012,одноэтажный
282,10404729,нет,да,36,БСУ,Б,2002,одноэтажный
283,18087373,нет,да,54,СА-3,Х,2005,одноэтажный
284,96104027,нет,нет,54,БСУ,Б,2012,одноэтажный
285,60666702,да,нет,72,СА-3,Б,2011,двухэтажный
286,82109613,да,да,40,СА-3,Б,2009,одноэтажный
287,83074216,да,да,40,СА-3,Б,2004,одноэтажный
288,25145751,да,нет,64,СА-3,Х,2002,двухэтажный
289,14506531,да,нет,80,СА-3,Х,2001,одноэтажный
290,41452485,да,нет,80,СА-3,Х,2009,двухэтажный
291,87324220,да,да,72,БСУ,Х,2004,одноэтажный
292,79961132,да,да,36,СА-3,Б,2013,одноэтажный
293,16292676,нет,нет,72,БСУ,Б,2010,одноэтажный
294,64795619,да,да,80,БСУ,Х,2007,одноэтажный
295,29374563,нет,нет,64,БСУ,Б,2017,одноэтажный
296,62132722,да,да,72,СА-3,Б,2011,двухэтажный
297,35566010,да,да,64,СА-3,Б,2006,одноэтажный
298,88864147,нет,да,54,СА-3,Б,2010,одноэтажный
299,12058055,да,да,72,СА-3,Б,2024,одноэтажный
300,42560305,нет,нет,54,СА-3,Б,2024,одноэтажный
301,72579077,да,да,44,БСУ,Б,2015,одноэтажный
302,73013937,нет,да,40,БСУ,Б,2001,одноэтажный
303,39698906,нет,да,64,БСУ,Х,2006,одноэтажный
304,60981231,да,да,64,БСУ,Х,2015,одноэтажный
305,96126771,нет,да,72,БСУ,Х,2023,одноэтажный
306,34702473,нет,да,72,СА-3,Б,2002,одноэтажный
307,99686372,да,да,40,СА-3,Х,2004,двухэтажный
308,77878323,да,да,72,БСУ,Б,2000,двухэтажный
309,84040345,да,да,72,БСУ,Б,2009,двухэтажный
310,67790557,нет,нет,36,СА-3,Б,2007,двухэтажный
311,80659726,да,да,80,БСУ,Х,2012,одноэтажный
312,42642810,нет,да,72,СА-3,Б,2020,одноэтажный
313,22549425,да,да,54,СА-3,Б,2022,двухэтажный
314,77089857,нет,нет,44,СА-3,Б,2001,двухэтажный
315,86072480,да,да,36,БСУ,Б,2018,одноэтажный
316,34072553,нет,да,40,СА-3,Б,2022,одноэтажный
317,20326375,да,да,64,БСУ,Б,2017,одноэтажный
318,28783850,нет,нет,36,БСУ,Х,2013,двухэтажный
319,20202996,да,нет,64,БСУ,Б,2010,двухэтажный
320,46685332,нет,да,40,БСУ,Б,2012,одноэтажный
321,88634827,нет,да,64,БСУ,Б,2022,двухэтажный
322,45966597,да,нет,72,СА-3,Б,2010,одноэтажный
323,22283664,да,да,44,БСУ,Х,2002,двухэтажный
324,70242778,да,да,36,СА-3,Х,2017,двухэтажный
325,90268079,нет,нет,36,БСУ,Б,2024,двухэтажный
326,85099723,нет,нет,64,СА-3,Б,2005,двухэтажный
327,50417154,да,да,40,БСУ,Х,2009,одноэтажный
328,20324210,да,нет,72,БСУ,Б,2006,одноэтажный
329,28185096,да,нет,44,БСУ,Б,2010,одноэтажный
330,67796330,нет,нет,64,СА-3,Б,2019,одноэтажный
331,36957830,да,да,54,БСУ,Х,2022,одноэтажный
332,87293208,нет,да,44,БСУ,Б,2018,двухэтажный
333,83233096,да,нет,36,БСУ,Б,2006,одноэтажный
334,49101812,нет,да,80,БСУ,Б,2004,одноэтажный
335,42483531,да,да,54,БСУ,Х,2019,одноэтажный
336,63795149,да,нет,80,БСУ,Б,2025,одноэтажный
337,82062301,да,нет,36,СА-3,Б,2011,двухэтажный
338,92232236,да,нет,72,БСУ,Б,2010,одноэтажный
339,67774765,да,да,40,СА-3,Б,2012,одноэтажный
340,88999206,нет,да,36,БСУ,Х,2013,одноэтажный
341,21523236,да,нет,40,БСУ,Б,2014,одноэтажный
342,79942848,да,да,54,БСУ,Б,2009,двухэтажный
343,25446483,да,да,36,СА-3,Б,2023,двухэтажный
344,33414716,да,да,54,БСУ,Х,2012,одноэтажный
345,35016429,да,да,36,СА-3,Б,2013,одноэтажный
346,38829445,да,нет,80,СА-3,Б,2025,одноэтажный
347,35093324,да,да,36,БСУ,Б,2015,одноэтажный
348,95779702,да,да,54,СА-3,Б,2014,одноэтажный
349,49922369,нет,да,72,СА-3,Б,2007,одноэтажный
350,34567819,да,да,54,БСУ,Б,2018,одноэтажный
351,34931439,да,да,72,СА-3,Б,2015,одноэтажный
352,35111946,да,да,36,БСУ,Б,2015,двухэтажный
353,61532114,нет,да,54,БСУ,Б,2013,одноэтажный
354,69572772,да,да,36,СА-3,Х,2008,двухэтажный
355,48744673,да,да,72,БСУ,Б,2003,одноэтажный
356,45955440,нет,нет,44,СА-3,Б,2014,одноэтажный
357,67063296,да,нет,80,СА-3,Х,2001,одноэтажный
358,56785209,нет,да,80,СА-3,Б,2007,двухэтажный
359,88909809,нет,нет,64,БСУ,Х,2004,одноэтажный
360,37775381,нет,да,64,БСУ,Б,2005,одноэтажный
361,49276764,да,да,80,СА-3,Х,2024,одноэтажный
362,17957216,нет,нет,40,СА-3,Х,2022,одноэтажный
363,43226234,нет,нет,54,СА-3,Б,2008,одноэтажный
364,60354777,да,нет,80,СА-3,Б,2023,одноэтажный
365,59535894,да,да,64,СА-3,Б,2023,двухэтажный
366,71532017,да,нет,80,СА-3,Б,2012,двухэтажный
367,67665720,нет,да,44,БСУ,Б,2018,двухэтажный
368,75140950,нет,нет,80,СА-3,Х,2020,одноэтажный
369,71684020,да,нет,40,БСУ,Б,2013,двухэтажный
370,27705074,нет,да,80,БСУ,Х,2011,одноэтажный
371,59908025,нет,нет,36,БСУ,Б,2023,одноэтажный
372,41426254,да,да,36,СА-3,Х,2002,двухэтажный
373,40358823,да,да,36,БСУ,Б,2013,одноэтажный
374,74115841,да,да,72,СА-3,Х,2011,одноэтажный
375,28405182,да,нет,80,СА-3,Б,2021,двухэтажный
376,81203615,да,нет,40,БСУ,Б,2006,одноэтажный
377,30317091,нет,нет,54,СА-3,Х,2003,двухэтажный
378,26529882,да,да,54,БСУ,Б,2007,одноэтажный
379,21307671,да,нет,72,БСУ,Б,2022,двухэтажный
380,98369672,нет,да,64,СА-3,Б,2009,одноэтажный
381,42123815,да,да,54,СА-3,Б,2000,одноэтажный
382,52476240,да,нет,64,БСУ,Б,2021,двухэтажный
383,73218512,нет,нет,36,СА-3,Х,2006,двухэтажный
384,18115992,нет,да,44,БСУ,Б,2012,двухэтажный
385,82016510,да,да,36,БСУ,Х,2006,одноэтажный
386,30854365,да,да,72,СА-3,Б,2013,одноэтажный
387,42029368,да,да,54,СА-3,Б,2019,двухэтажный
388,99399687,нет,нет,36,СА-3,Б,2022,двухэтажный
389,76627415,нет,да,80,БСУ,Х,2004,одноэтажный
390,46072958,нет,да,36,БСУ,Б,2008,одноэтажный
391,45292504,нет,да,36,БСУ,Б,2011,двухэтажный
392,86086168,да,да,80,СА-3,Б,2021,одноэтажный
393,40655922,нет,да,80,СА-3,Х,2015,одноэтажный
394,30144023,да,нет,36,БСУ,Х,2007,одноэтажный
395,52940967,да,да,44,СА-3,Б,2001,двухэтажный
396,79226031,нет,нет,36,БСУ,Б,2024,одноэтажный
397,53929586,да,да,44,СА-3,Х,2025,одноэтажный
398,93579731,да,да,54,СА-3,Б,2017,одноэтажный
399,42900372,да,нет,36,СА-3,Б,2020,одноэтажный
400,11287794,нет,да,72,БСУ,Б,2023,одноэтажный
401,37540722,да,да,54,СА-3,Б,2004,одноэтажный
402,22485824,да,да,80,БСУ,Б,2011,одноэтажный
403,21395409,да,да,72,БСУ,Х,2018,двухэтажный
404,98911718,нет,да,44,БСУ,Б,2012,одноэтажный
405,53788744,да,да,36,СА-3,Х,2024,одноэтажный
406,30858851,да,да,44,БСУ,Х,2011,одноэтажный
407,37868462,да,да,80,СА-3,Х,2025,одноэтажный
408,90973889,да,нет,44,СА-3,Х,2007,одноэтажный
409,63183031,да,нет,44,СА-3,Х,2012,одноэтажный
410,84618850,нет,да,54,СА-3,Б,2004,двухэтажный
411,18277097,нет,нет,40,СА-3,Б,2011,одноэтажный
412,96528158,да,да,80,СА-3,Х,2002,двухэтажный
413,96702893,да,да,80,БСУ,Х,2014,двухэтажный
414,87025433,да,нет,54,СА-3,Б,2013,двухэтажный
415,38818707,нет,да,54,СА-3,Х,2019,одноэтажный
416,96876236,да,да,64,БСУ,Х,2008,одноэтажный
417,66268745,да,нет,64,СА-3,Б,2025,одноэтажный
418,12621269,нет,нет,44,БСУ,Б,2015,одноэтажный
419,85920407,да,да,40,СА-3,Б,2007,двухэтажный
420,47706144,да,нет,64,БСУ,Б,2007,одноэтажный
421,23439803,да,да,64,СА-3,Б,2007,одноэтажный
422,62133188,да,нет,80,СА-3,Х,2018,одноэтажный
423,58155056,нет,да,72,БСУ,Б,2018,двухэтажный
424,35264294,нет,нет,54,БСУ,Х,2001,двухэтажный
425,41222178,да,да,54,СА-3,Б,2019,двухэтажный
426,27514010,да,да,80,БСУ,Х,2004,одноэтажный
427,29012298,нет,нет,80,БСУ,Б,2011,одноэтажный
428,98870866,да,да,44,БСУ,Х,2005,одноэтажный
429,68635481,нет,нет,72,БСУ,Х,2017,одноэтажный
430,92370625,нет,да,64,СА-3,Б,2023,одноэтажный
431,27092408,да,да,72,БСУ,Б,2024,одноэтажный
432,14346338,да,да,80,СА-3,Б,2003,одноэтажный
433,28876833,да,да,44,БСУ,Х,2002,одноэтажный
434,99929175,да,нет,54,СА-3,Х,2007,одноэтажный
435,57040785,да,да,36,СА-3,Б,2023,одноэтажный
436,32325567,нет,да,54,БСУ,Б,2003,одноэтажный
437,87585294,нет,нет,40,БСУ,Х,2001,одноэтажный
438,52777459,да,да,44,СА-3,Б,2005,одноэтажный
439,83423305,нет,нет,44,БСУ,Б,2013,одноэтажный
440,32145548,да,да,36,СА-3,Б,2006,одноэтажный
441,84371711,нет,нет,44,БСУ,Х,2003,двухэтажный
442,86741644,да,да,36,БСУ,Х,2002,одноэтажный
443,98854850,да,да,36,СА-3,Х,2020,одноэтажный
444,20997276,да,да,80,БСУ,Б,2021,одноэтажный
445,96149847,да,да,54,БСУ,Х,2001,одноэтажный
446,72419022,да,нет,64,СА-3,Х,2022,одноэтажный
447,21503440,нет,нет,54,СА-3,Б,2012,одноэтажный
448,66187845,нет,нет,54,СА-3,Б,2002,одноэтажный
449,14661179,да,нет,80,СА-3,Х,2024,одноэтажный
450,32436477,нет,нет,40,СА-3,Б,2021,одноэтажный
451,94184877,да,да,44,СА-3,Х,2017,одноэтажный
452,53771998,нет,да,80,СА-3,Б,2019,одноэтажный
